text,label
"I woke up forgetting, and then remembered, and that was the worst part.",sadness
I feel my heart pounding even when nothing is happening.,fear
You broke your word and that's not something I take lightly.,anger
"I feel completely flat. No highs, no lows, just nothing.",bored
I've been waiting for inspiration and it clearly took the day off.,bored
Over the moon right now.,joy
I keep opening the fridge even though I know nothing new is in there.,bored
There's nothing to look forward to this week.,bored
"I made my bed, brewed some tea, and started working.",neutral
I gave this company ten years and they let me go over email.,anger
I would give everything to protect this family.,love
I smiled at our old photos and then just broke down crying.,sadness
I laughed until I had tears streaming down my face.,joy
I sat through a two-hour meeting and retained zero percent of it.,bored
I feel grounded today.,neutral
Shocked.,surprise
I've been stuck in this dark place for so long.,sadness
Just finished yoga and I feel balanced.,neutral
Best feeling ever.,joy
So disrespectful.,anger
"The world looks dimmer now, like someone turned down the brightness on everything.",sadness
I never knew love could feel this safe.,love
I just want one more conversation with them.,sadness
"I woke up and immediately wanted to go back to sleep. Not tired, just uninterested.",bored
I need a hobby. Or a friend. Or a crisis. Something.,bored
Everything feels manageable today.,neutral
I started three different activities and lost interest in all of them.,bored
I'm done being nice to people who don't deserve it.,anger
I trusted you and you used it against me.,anger
"I ate breakfast, brushed my teeth, and started my day.",neutral
I'm exactly where I'm supposed to be.,joy
I had green tea and journaled for a few minutes.,neutral
I looked at the results three times because I didn't believe them.,surprise
I'm done.,anger
I have hobbies but none of them sound appealing right now.,bored
The empty chair at the table still gets to me.,sadness
"I feel on edge all the time, like I'm waiting for something to go wrong.",fear
I got nothing.,bored
I'm terrified of ending up alone.,fear
I was shaking with anger after that conversation.,anger
I'm exhausted from pretending everything is fine.,sadness
I look forward to the sound of your key in the door.,love
I'm not in a rush. Everything can wait.,neutral
I'm falling asleep happy and that's enough.,joy
The world looks different when you're happy.,joy
Empty.,sadness
I'm at peace with where things stand.,neutral
It is what it is.,neutral
I cherish this.,love
"I ate because it was lunchtime, not because I was hungry.",bored
I feel invisible most days.,sadness
You took advantage of someone who trusted you completely.,anger
I've been staring at this wall for twenty minutes and I don't care.,bored
I feel like my personality shut off today.,bored
I found a twenty dollar bill in my old jacket pocket.,joy
If boredom was a sport I'd be a world champion.,bored
My test results came back completely normal. I was bracing for the worst.,surprise
So anxious.,fear
"After years of trying, I finally did it.",joy
That twist though.,surprise
You had one job and you couldn't even do that right.,anger
Just had the best coffee of my life at this tiny place downtown.,joy
My everything.,love
I can't even think of something I want to do.,bored
I'm livid.,anger
I opened the door and everyone was there. I had no clue.,surprise
She's my person.,love
They accepted my application!,joy
I've opened every app on my phone twice and nothing interests me.,bored
I feel forgotten.,sadness
I'm so stressed about money that I can't sleep.,fear
I've tried everything and nothing works.,sadness
Something feels off but I can't put my finger on it.,fear
He always saves the last bite for me.,love
Things that used to excite me just feel like noise now.,bored
I'm seething and I need to walk before I say something I regret.,anger
Everything is operating as usual.,neutral
I got cut off three times in traffic and my patience is gone.,anger
"Wait, WHAT? You're telling me this NOW?",surprise
I scrolled through my phone for three hours and can't remember a single thing.,bored
I just don't feel like doing anything at all.,bored
I never expected to hear from them again after all these years.,surprise
Everything is going wrong and I've had it.,anger
I'm worried sick about my parents' health and every phone call from home makes my heart stop for a second.,fear
I wish someone would just ask me how I'm really doing.,sadness
I got the email and had to read it five times to make sure.,surprise
The way she says my name makes the world stop.,love
I stared at a menu for ten minutes because nothing appealed to me.,bored
The most interesting thing today was a notification about a software update.,bored
My weekend plans: absolutely nothing. Not by choice.,bored
They knew exactly what they were doing.,anger
My pillow knows more about my feelings than anyone else.,sadness
I passed my exam! All those late nights paid off.,joy
My jaw literally dropped when I heard the news.,surprise
Kill me now.,bored
I can't see a way out of this anymore.,sadness
I made someone's day today and honestly it made mine even more than it made theirs.,joy
My daughter took her first steps today and I ugly cried.,joy
Zero motivation.,bored
