text,label
sick of fake people,anger
i feel like crying,sadness
apathetic,bored
monotonous,bored
livid,anger
furious,anger
feeling lazy today,bored
panicked,fear
i'm boiling inside,anger
couldn't be happier,joy
i just want to lay here and do nothing,bored
everything is perfect,joy
this pain won't go away,sadness
caring,love
thunderstruck,surprise
my mind is blown,surprise
broken,sadness
i feel like a robot going through routines,bored
panicking,fear
unbearable pain,sadness
thrilled,joy
blah,bored
i'm fed up,anger
feeling down,sadness
i don't see a reason to keep going,sadness
desolate,sadness
everything feels pointless and dull,bored
life isn't worth living,sadness
pinch me i must be dreaming,surprise
i adore this person,love
typical,neutral
i hate this,anger
seething,anger
this is so boring,bored
miserable,sadness
my heart hurts,sadness
nonplussed,surprise
makes my blood boil,anger
lonely,sadness
incensed,anger
i'm okay,neutral
average,neutral
outraged,anger
unremarkable,neutral
why am i even here,sadness
i care about you deeply,love
vengeful,anger
terrified,fear
attachment,love
deeply unsettled,fear
zero energy today,bored
heartache,sadness
staggered,surprise
crushed,sadness
feeling sleepy and lazy,bored
i'm losing my mind with worry,fear
i feel nothing,bored
i'm so sad,sadness
moderate,neutral
you complete me,love
i feel so alone,sadness
so much to be grateful for,joy
there's no hope left,sadness
dejected,sadness
i'm feeling sluggish,bored
in pain,sadness
you mean everything to me,love
i'm trembling,fear
i feel uneasy,fear
i'm shaken up,fear
sick of this,anger
unconditional love,love
sometimes i think everyone would be better off without me,sadness
mourning,sadness
compassionate,love
terrific,joy
magnificent,joy
anguish,sadness
idle,bored
everything is falling apart,sadness
sluggish,bored
distressed,fear
you are my everything,love
drowsy and unproductive,bored
just numb,bored
bleak,sadness
dread,fear
i need something to do,bored
i'm hurting,sadness
staring at the ceiling again,bored
the disrespect is unreal,anger
infuriated,anger
what a great day,joy
stagnant,bored
tedious,bored
the sadness is overwhelming,sadness
completely devastated,sadness
oh my god,surprise
head over heels,love
meh,bored
trembling,fear
indifferent,bored
feeling fantastic,joy
life is beautiful,joy
too tired for anything,bored
too lazy to move,bored
nobody would care if i was gone,sadness
wrathful,anger
i'm having a panic attack,fear
i don't feel anything anymore,bored
i feel incredible,joy
what the heck,surprise
i'm on autopilot and i hate it,bored
astounded,surprise
i'm freaking out,fear
troubled,fear
i just want the pain to stop,sadness
i'm beyond angry,anger
warmth,love
wretched,sadness
smitten,love
i can't take this anymore i just want to disappear,sadness
i'm doing okay i guess,neutral
amazing,joy
uneasy,fear
i feel vulnerable,fear
i have become lethargic,bored
tense,fear
what's the point of anything anymore,sadness
i'm so pissed right now,anger
edgy,fear
pissed,anger
jubilant,joy
listless,bored
alright,neutral
nothing to complain about,neutral
i'm paralyzed with fear,fear
awestruck,surprise
i'm so unmotivated it's not even funny,bored
excited,joy
fondness,love
spooked,fear
i'm being so lazy right now,bored
i want to give up,sadness
standard,neutral
just a normal day,neutral
petrified,fear
i feel like a vegetable,bored
deeply hurt,sadness
i can't believe it,surprise
the anxiety won't stop,fear
cheerful,joy
heartbroken,sadness
startled,fear
bored,bored
despair,sadness
help i'm dying of boredom,bored
i'm dreading everything,fear
something terrible is going to happen,fear
this is wonderful,joy
resentful,anger
